shop_id	item_profit
2	103746.0
3	67443.0
4	29361.0
5	33138.0
6	138678.0
7	52371.0
10	22716.0
12	295172.99999999703
14	57450.0
15	125139.0
16	121923.0
18	35787.0
19	51420.0
21	228999.0
22	150717.0
24	56955.0
25	288432.0
26	120462.0
27	172959.0
28	202512.0
29	85737.0
31	304692.00000000006
34	12117.0
35	65769.0
37	220500.0
38	73482.0
39	34686.0
41	36840.0
42	330110.99999999994
44	137445.0
45	82350.0
46	93902.99999999999
47	80142.0
48	32745.0
49	35784.0
50	142053.0
51	10665.0
52	63531.0
53	50505.0
54	125343.0
55	170847.59999999998
56	54906.0
57	226269.0
58	142863.0
59	113108.99999999997
